model,fold,tn,fp,fn,tp,accuracy,precision,recall,f1_score,brier_score,roc_auc,pr_auc,log_loss
LogisticRegression,1,708,33,82,144,0.8810754912099276,0.8135593220338984,0.6371681415929203,0.7146401985111662,0.09530355761247856,0.8742132731420109,0.7750000171382296,0.3388174877568983
LogisticRegression,2,727,16,93,131,0.8872802481902792,0.891156462585034,0.5848214285714286,0.706199460916442,0.08890363196926775,0.8894413333974235,0.8198633003540838,0.3197677920317373
LogisticRegression,3,714,30,95,128,0.8707342295760083,0.810126582278481,0.5739910313901345,0.6719160104986877,0.10261853004793584,0.8536001012584984,0.7597374072033707,0.34227728256724843
LogisticRegression,4,706,36,85,139,0.8747412008281573,0.7942857142857143,0.6205357142857143,0.6967418546365914,0.09595124017007312,0.8770275798998843,0.7828485369354891,0.3226322671935037
LogisticRegression,5,711,30,100,125,0.865424430641822,0.8064516129032258,0.5555555555555556,0.6578947368421053,0.09874751034277739,0.8633168391063128,0.7721877637866614,0.33307131454462324
