original_row_index,product_model,kw,unit_price,qty,subtotal_price,gross_margin_rate,energy_grant_amount,competitor_a,competitor_b,competitor_c,is_compe_a,is_compe_b,is_compe_c,competitor_count_available,avg_competitor_price,min_competitor_price,max_competitor_price,price_gap_avg_competitor,price_gap_avg_competitor_pct,price_gap_min_competitor,price_gap_min_competitor_pct,higher_than_avg_competitor,is_lower_than_competitor,effective_price_after_grant,grant_ratio_to_subtotal,estimated_cost,estimated_gross_profit
2039,0.2479401070906897,0.005529081395361572,1.2498553152217937,-0.06348650778410957,0.24088291069172554,0.4955617901858932,-0.01020479779690504,0.02753452807548456,-0.0005390183508279734,0.0,0.0,-5.1832948811352255e-05,0.0,0.0,0.0018692846060730517,0.0,0.0,0.5263427126233728,0.48162366028351244,0.008693723999895155,-0.4900229273919831,-0.006936717917269562,0.0,0.18259307777754658,1.0494923586577352,-0.8230082870459955,0.25610670135807595
284,-0.16480555562709923,0.006187627743929625,-0.3698548245702477,-0.03448334680768312,0.12153252781397895,-1.0796076171991762,0.004154610127443448,0.013818440701579676,-0.000756209778774064,0.0,0.0,-7.256613112986087e-05,0.0,0.0,0.0036950099025852977,0.0,0.0,0.10963600077015144,0.04675635510269785,-0.07273353317452347,-2.6933409844462584,-0.004765717115078587,0.0,-0.7914812607770546,-0.46710500437606245,-0.23623216294834493,-0.03552825544364168
178,-0.22584659465470394,-0.051329135452397166,-0.9924170682593467,-0.04351893946484779,-0.11309333919991332,-2.415579754236478,-0.007360137104406021,-0.16050886941957287,-0.003222657460719347,0.0,0.0,-9.070765227079392e-05,0.0,0.0,-0.0004725550429429859,0.0,0.0,-0.018348773462494136,0.36327563061233376,0.06719458514011421,-2.0566365003625107,-0.004324094131297898,-0.0008697735672467388,-0.831809803535848,-1.1266984542697174,1.0871402467111329,-0.10329157134372507
3693,0.038254718529206005,0.01571341120317811,0.12112570712882188,-0.02556526723841671,0.06365889388704091,0.9036298669537973,0.0022610253898892553,0.010854561084124725,-0.0026314853216172196,0.0,0.0,-0.0002902645245194435,0.0,0.0,0.002717429419280961,0.0,0.0,0.2342664640469957,0.745846449003293,-0.06713300445988352,3.4837286231464533,0.018205682124826126,0.00020757051417604088,2.385960343414845,1.855718122215403,0.6211074629070663,0.4071893169116811
3830,0.06260139475387405,0.0026599476786213928,-0.1704385733277013,-0.036380316928989485,0.045724940739019074,0.45054290245032463,0.015074048086535185,0.037016950792749415,-0.001274002006975934,0.0,0.0,-0.00018141530454158784,0.0,0.0,0.0058891976857557895,0.0,0.0,-0.02604628905537538,-0.2928797849944385,-0.12566706093515678,-0.8938135440996848,-0.056572788878111166,0.0,-0.1386536743171746,0.3376276812533615,0.290093656756726,-0.08970438816177193
1837,0.01954614359419793,0.01740933534805663,0.38499838212628673,-0.02495778084383346,0.09882051568609312,0.12493696647254182,-0.0016187057341448964,0.009492000695609022,-0.0004415125132072717,0.0,0.0,-0.0001891902578063309,0.0,0.0,0.002347014572005719,0.0,0.0,0.28556143716166843,1.7240129244432318,0.02730534842099587,3.5395991024137765,0.01677628750127042,0.00020757051417604088,1.9550471359253425,1.7078148061030516,0.04152573585619393,0.7572324020742962
4242,-0.0283024593621667,0.0013136501330882312,0.16662799398152855,-0.08040345247020014,0.09568612776114606,0.5858252995541988,-0.011892193563107866,0.03777811769046821,-0.003316176416119561,0.0,0.0,-0.00010366589995101095,0.0,0.0,-0.004174847339745611,0.0,0.0,-0.06271025874753831,-0.6504475121488577,-0.02534983419231139,-1.093051446574609,0.016994362729019486,0.0,-0.36744029184526883,-0.6589172208967284,-1.1960352366971891,-0.06381541232171002
2238,-0.12296862819115631,0.0035534118162468074,-1.336670819876017,-0.05654174452880398,0.019375242073147093,0.6313684612868383,0.01073676098312717,-0.1704210913425777,0.008107344282761915,0.0,0.0,0.0007593734795227646,0.0,0.0,-0.01836155726807192,0.0,0.0,-0.4576662976638181,-0.45473651599553705,-0.06695975262475258,0.8361101057840279,0.046766521333192944,0.0002630143263377249,-0.3181353717164893,0.29188877429995047,0.11918072768545244,0.01840677381056594
2114,-0.011297067696796148,0.018311742467340082,0.16733467689882672,0.2226409993089328,0.35745686246827973,1.3635094773997845,0.005284988327184692,-0.07970659666170832,-0.0007628948183264583,0.0,0.0,-0.0005381987825967371,0.0,0.0,0.003308794776676223,0.0,0.0,0.42703905944450526,0.5561790604918496,0.06438370428062626,5.655298417013255,0.03677757376543014,0.0002630143263377249,0.2379217545031861,-1.3090876762423431,1.6946589731797577,0.13323729661009565
2558,0.051221270950627514,0.0025367770483717324,0.23570505173411221,-0.04477711650717538,0.0515992727316916,0.8472765837125916,-0.013548561371862888,0.03353557733702473,-0.0059673523146193475,0.0,0.0,-0.00010366589995101095,0.0,0.0,0.003767749594990164,0.0,0.0,0.16687979034082673,-0.023858966336556476,-0.21036533318139847,-0.69761577696132,-0.007419810413848609,0.0,-0.016490739599394146,0.5154770026318147,-0.16665646527639183,0.19370980504463658
4224,0.054913306840899165,0.0026599476786213928,-0.185269241365022,-0.043133852958126224,0.05080669849543483,0.24221739802851516,0.015074048086535185,0.03364545261778403,-0.001274002006975934,0.0,0.0,-0.00012094355188310146,0.0,0.0,0.0058891976857557895,0.0,0.0,-0.15461342875263653,-0.3944632344863203,-0.18162753679753224,-0.9760441862582229,-0.04526172724901698,0.0,-0.11742728593933861,0.3017141575412825,-0.8299802591087792,-0.2060496403282741
589,-0.09973019346245565,0.0240409521755646,0.3160866186427302,-0.04371166941768024,-0.47933421271227417,0.10831394429522334,-0.01336916278465651,0.02164880164549686,-0.0008703423838596791,0.0,0.0,-6.047177594155073e-05,0.0,0.0,0.001176019108388573,0.0,0.0,-0.08745084466718253,-0.13930580097672646,-0.08263759332534391,-0.9357685250313807,-0.00736090697319014,0.0,0.6842135801215773,-0.9014698481719825,-1.585217992662183,-0.02856004462017154
753,0.2721702727722004,0.007643606181954965,0.1685722627855648,-0.04342010788270272,0.2020706317042641,-2.949000532502396,-0.012781110915821046,0.027451319737010635,-0.000756209778774064,0.0,0.0,-7.256613112986087e-05,0.0,0.0,0.0023733177152462305,0.0,0.0,0.5229930257529486,-0.8077870505770989,0.19833395362054942,-2.4210736559994985,-0.0048869538950384595,0.0,-0.6645087458735361,-0.09521390239038738,-0.1992604922366081,-0.09343888392242661
