metric,mean,std
accuracy,0.8758511200892389,0.008573933824098176
precision,0.8231159388172706,0.03872482016400162
recall,0.5944143742791507,0.03365023907034435
f1_score,0.6894784522809986,0.023829776851657717
brier_score,0.09630489402850653,0.0050431835179713955
roc_auc,0.8715198253608261,0.013667259845279783
pr_auc,0.781927405083567,0.022777324009444995
log_loss,0.33131322881880215,0.00985230236508409
