original_row_index,base_value
2039,-1.3632977278410197
284,-1.3632977278410197
178,-1.3632977278410197
3693,-1.3632977278410197
3830,-1.3632977278410197
1837,-1.3632977278410197
4242,-1.3632977278410197
2238,-1.3632977278410197
2114,-1.3632977278410197
2558,-1.3632977278410197
4224,-1.3632977278410197
589,-1.3632977278410197
753,-1.3632977278410197
4079,-1.3632977278410197
4392,-1.3632977278410197
975,-1.3632977278410197
795,-1.3632977278410197
513,-1.3632977278410197
4395,-1.3632977278410197
461,-1.3632977278410197
4435,-1.3632977278410197
1845,-1.3632977278410197
2821,-1.3632977278410197
2573,-1.3632977278410197
4501,-1.3632977278410197
427,-1.3632977278410197
2963,-1.3632977278410197
4790,-1.3632977278410197
2560,-1.3632977278410197
1354,-1.3632977278410197
3936,-1.3632977278410197
3898,-1.3632977278410197
3504,-1.3632977278410197
3340,-1.3632977278410197
2814,-1.3632977278410197
1481,-1.3632977278410197
3845,-1.3632977278410197
4156,-1.3632977278410197
3175,-1.3632977278410197
1784,-1.3632977278410197
1747,-1.3632977278410197
2653,-1.3632977278410197
2937,-1.3632977278410197
4712,-1.3632977278410197
4788,-1.3632977278410197
1885,-1.3632977278410197
974,-1.3632977278410197
3350,-1.3632977278410197
4157,-1.3632977278410197
515,-1.3632977278410197
4297,-1.3632977278410197
3192,-1.3632977278410197
1140,-1.3632977278410197
2551,-1.3632977278410197
380,-1.3632977278410197
660,-1.3632977278410197
1424,-1.3632977278410197
3673,-1.3632977278410197
21,-1.3632977278410197
343,-1.3632977278410197
4419,-1.3632977278410197
4433,-1.3632977278410197
715,-1.3632977278410197
1699,-1.3632977278410197
4786,-1.3632977278410197
1980,-1.3632977278410197
3211,-1.3632977278410197
1163,-1.3632977278410197
136,-1.3632977278410197
3969,-1.3632977278410197
1921,-1.3632977278410197
1119,-1.3632977278410197
378,-1.3632977278410197
636,-1.3632977278410197
1957,-1.3632977278410197
3724,-1.3632977278410197
2624,-1.3632977278410197
1176,-1.3632977278410197
1467,-1.3632977278410197
1503,-1.3632977278410197
2905,-1.3632977278410197
1389,-1.3632977278410197
307,-1.3632977278410197
2698,-1.3632977278410197
2932,-1.3632977278410197
4447,-1.3632977278410197
3760,-1.3632977278410197
521,-1.3632977278410197
1339,-1.3632977278410197
4573,-1.3632977278410197
2495,-1.3632977278410197
622,-1.3632977278410197
1940,-1.3632977278410197
2646,-1.3632977278410197
516,-1.3632977278410197
1219,-1.3632977278410197
1494,-1.3632977278410197
4247,-1.3632977278410197
3586,-1.3632977278410197
64,-1.3632977278410197
2607,-1.3632977278410197
4670,-1.3632977278410197
223,-1.3632977278410197
3905,-1.3632977278410197
3875,-1.3632977278410197
219,-1.3632977278410197
4090,-1.3632977278410197
3476,-1.3632977278410197
4104,-1.3632977278410197
22,-1.3632977278410197
4032,-1.3632977278410197
2449,-1.3632977278410197
2482,-1.3632977278410197
4489,-1.3632977278410197
2201,-1.3632977278410197
3796,-1.3632977278410197
717,-1.3632977278410197
1298,-1.3632977278410197
332,-1.3632977278410197
3313,-1.3632977278410197
134,-1.3632977278410197
1671,-1.3632977278410197
177,-1.3632977278410197
3347,-1.3632977278410197
865,-1.3632977278410197
1275,-1.3632977278410197
4445,-1.3632977278410197
1779,-1.3632977278410197
3633,-1.3632977278410197
996,-1.3632977278410197
2637,-1.3632977278410197
1580,-1.3632977278410197
1899,-1.3632977278410197
897,-1.3632977278410197
4709,-1.3632977278410197
225,-1.3632977278410197
639,-1.3632977278410197
1951,-1.3632977278410197
3524,-1.3632977278410197
619,-1.3632977278410197
36,-1.3632977278410197
1660,-1.3632977278410197
1024,-1.3632977278410197
1086,-1.3632977278410197
2921,-1.3632977278410197
1822,-1.3632977278410197
367,-1.3632977278410197
4783,-1.3632977278410197
3111,-1.3632977278410197
4819,-1.3632977278410197
3120,-1.3632977278410197
4316,-1.3632977278410197
2643,-1.3632977278410197
3938,-1.3632977278410197
3285,-1.3632977278410197
507,-1.3632977278410197
1164,-1.3632977278410197
3130,-1.3632977278410197
3982,-1.3632977278410197
2443,-1.3632977278410197
3647,-1.3632977278410197
234,-1.3632977278410197
4744,-1.3632977278410197
3121,-1.3632977278410197
3324,-1.3632977278410197
2865,-1.3632977278410197
657,-1.3632977278410197
2504,-1.3632977278410197
4006,-1.3632977278410197
167,-1.3632977278410197
1537,-1.3632977278410197
4438,-1.3632977278410197
1265,-1.3632977278410197
5,-1.3632977278410197
1122,-1.3632977278410197
2035,-1.3632977278410197
1026,-1.3632977278410197
3332,-1.3632977278410197
4415,-1.3632977278410197
147,-1.3632977278410197
1491,-1.3632977278410197
4378,-1.3632977278410197
2872,-1.3632977278410197
4390,-1.3632977278410197
4767,-1.3632977278410197
1057,-1.3632977278410197
4105,-1.3632977278410197
705,-1.3632977278410197
3624,-1.3632977278410197
3171,-1.3632977278410197
543,-1.3632977278410197
4529,-1.3632977278410197
4237,-1.3632977278410197
4730,-1.3632977278410197
371,-1.3632977278410197
2071,-1.3632977278410197
3881,-1.3632977278410197
2254,-1.3632977278410197
4369,-1.3632977278410197
4097,-1.3632977278410197
4207,-1.3632977278410197
3603,-1.3632977278410197
1255,-1.3632977278410197
2239,-1.3632977278410197
687,-1.3632977278410197
2672,-1.3632977278410197
1360,-1.3632977278410197
1592,-1.3632977278410197
3368,-1.3632977278410197
1313,-1.3632977278410197
4286,-1.3632977278410197
998,-1.3632977278410197
238,-1.3632977278410197
3816,-1.3632977278410197
4050,-1.3632977278410197
498,-1.3632977278410197
4404,-1.3632977278410197
3935,-1.3632977278410197
4371,-1.3632977278410197
2523,-1.3632977278410197
3468,-1.3632977278410197
546,-1.3632977278410197
49,-1.3632977278410197
97,-1.3632977278410197
2943,-1.3632977278410197
3868,-1.3632977278410197
3016,-1.3632977278410197
130,-1.3632977278410197
2757,-1.3632977278410197
3550,-1.3632977278410197
2310,-1.3632977278410197
3675,-1.3632977278410197
2313,-1.3632977278410197
538,-1.3632977278410197
2831,-1.3632977278410197
2464,-1.3632977278410197
3618,-1.3632977278410197
4728,-1.3632977278410197
193,-1.3632977278410197
2214,-1.3632977278410197
236,-1.3632977278410197
4377,-1.3632977278410197
1154,-1.3632977278410197
3531,-1.3632977278410197
2430,-1.3632977278410197
3015,-1.3632977278410197
4181,-1.3632977278410197
32,-1.3632977278410197
2846,-1.3632977278410197
3396,-1.3632977278410197
