model,fold,tn,fp,fn,tp,accuracy,precision,recall,f1_score,brier_score,roc_auc,pr_auc,log_loss
Tuned HistGradientBoostingClassifier,1,721,23,58,181,0.9175991861648016,0.8872549019607843,0.7573221757322176,0.8171557562076749,0.06512238508753405,0.9521106087191253,0.9010642016529552,0.22762468530270788
Tuned HistGradientBoostingClassifier,2,726,19,59,179,0.9206510681586979,0.9040404040404041,0.7521008403361344,0.8211009174311926,0.06146872817383445,0.945488128137161,0.9047715117938675,0.2199499453108438
Tuned HistGradientBoostingClassifier,3,722,22,57,182,0.9196337741607324,0.8921568627450981,0.7615062761506276,0.8216704288939052,0.06482109272065813,0.9573857245692176,0.9020985096023766,0.21981748654264274
Tuned HistGradientBoostingClassifier,4,732,13,66,171,0.9195519348268839,0.9293478260869565,0.7215189873417721,0.8123515439429929,0.0612471172742551,0.9626681392121881,0.9159548753806593,0.20575339058984674
Tuned HistGradientBoostingClassifier,5,725,19,58,180,0.9215885947046843,0.9045226130653267,0.7563025210084033,0.8237986270022883,0.062253365913054734,0.9528835727839523,0.9081400453480002,0.21532444099476208
