candidate_gmr,total_rows,avg_predicted_win_probability,median_predicted_win_probability,avg_candidate_estimated_gross_profit,avg_expected_profit,median_expected_profit,avg_price_gap_avg_competitor_pct,candidate_gmr_pct,avg_predicted_win_probability_pct
0.0,4833,0.9274748247932335,0.9998685775841428,0.0,0.0,0.0,-27.047527336280734,0.0,92.75
0.05,4833,0.9011051465031023,0.999901456235767,15335.265892077474,14436.8508779711,8496.290705778525,-23.207923511874455,5.0,90.11
0.1,4833,0.8969345669084681,0.9998312389539561,32374.450216607995,30590.6344812205,17937.457608444285,-18.94169704031193,10.0,89.69
0.15,4833,0.8136461908468829,0.9996054191915051,51418.24446167153,45569.520556000534,28489.197505228578,-14.17356157209498,15.0,81.36
0.2,4833,0.7881610536927217,0.9998325140971847,72842.512987368,58861.933982366485,40358.19475475613,-8.809409170350921,20.0,78.82
0.25,4833,0.8689738936404016,0.9924455467856229,97123.35064982399,83247.60645129545,53426.381337452935,-2.7300364483743134,25.0,86.9
0.3,4833,0.7445625572538094,0.8912813324379758,124872.87940691656,92608.58400432966,62437.728583349824,4.217818091027529,30.0,74.46
0.35,4833,0.6775959999109843,0.9289718573464393,156891.56643433106,100760.66529137891,81115.78567973747,12.234573328798866,35.0,67.76
0.4,4833,0.4541936398387225,0.3776703999735881,194246.701299648,85749.88553221166,54704.28210106311,21.587454439532113,40.0,45.42
0.45,4833,0.2376727232930969,0.14103400790468557,238393.67886774978,76092.84327616893,18628.33590008249,32.64085938858047,45.0,23.77
0.5,4833,0.3689925437686823,0.25036174007554407,291370.051949472,110277.57830073762,50513.51117836669,45.90494532743853,50.0,36.9
0.55,4833,0.28380037908383565,0.01624208073657078,356118.952382688,98295.68081050112,3204.933498449438,62.11660591937616,55.0,28.38
0.6,4833,0.1204504118536529,0.018909087875786774,437055.0779242079,59607.23853584048,4579.145980199254,82.38118165929815,60.0,12.05
