metric,mean,std
accuracy,0.8926129563376091,0.006566741450694337
precision,0.9058830409356725,0.023672520870215378
recall,0.6006165772829231,0.03863283607479691
f1_score,0.7214038870019774,0.024750874530920345
brier_score,0.08771197954715429,0.003476317285869098
roc_auc,0.8918891190554215,0.010585233674174646
pr_auc,0.8121176433516423,0.017721074198541773
log_loss,0.3017781589184313,0.008335894516323133
